airline dep_delay
American 652
American 4
American 142
American 302
American 1
American 57
American 10
American 10
American 131
American 4
American 15
American 72
American 1
American 24
American 87
American 24
American 17
American 12
American 19
American 114
American 142
American 11
American 15
American 25
American 2
American 22
American 10
American 2
American 3
American 15
American 7
American 91
American 2
American 18
American 35
American 10
American 79
American 33
American 71
American 24
Alaska 5
Alaska 6
Alaska 57
Alaska 32
Alaska 8
Alaska 4
Alaska 13
Alaska 1
Alaska 16
Alaska 2
Alaska 6
Alaska 3
Alaska 24
Alaska 26
Alaska 6
Alaska 47
Alaska 10
Alaska 19
Alaska 40
Alaska 6
Alaska 7
Alaska 73
Alaska 4
Alaska 6
Alaska 47
Alaska 28
Alaska 4
Alaska 37
Alaska 15
Alaska 46
Alaska 111
Alaska 2
Alaska 36
Alaska 6
Alaska 8
Alaska 2
Alaska 6
Alaska 5
Alaska 79
Alaska 2
Delta 105
Delta 38
Delta 16
Delta 3
Delta 1
Delta 4
Delta 4
Delta 4
Delta 1
Delta 14
Delta 14
Delta 3
Delta 1
Delta 5
Delta 3
Delta 18
Delta 26
Delta 75
Delta 22
Delta 2
Delta 2
Delta 30
Delta 1
Delta 13
Delta 1
Delta 1
Delta 1
Delta 2
Delta 9
Delta 1
Delta 57
Delta 1
Delta 1
Delta 8
Delta 10
Delta 14
Delta 2
Delta 9
Delta 3
Delta 29
United 2
United 18
United 7
United 400
United 48
United 25
United 7
United 2
United 23
United 43
United 61
United 29
United 47
United 8
United 13
United 42
United 62
United 1
United 10
United 21
United 13
United 7
United 8
United 8
United 16
United 105
United 25
United 1
United 5
United 11
United 4
United 128
United 9
United 14
United 9
United 20
United 143
United 6
United 55
United 1
